source,target,weight,distance
1372,1133,12,19073.22543
1372,2465,22,12185.53307
1372,7203,118,52915.96973
1372,8414,24,63918.0166
1372,3900,11,23046.44245
1372,9072,11,69876.94212
1373,375,16,12020.79399
1373,2341,13,23730.34627
1373,8414,13,63894.2974
1374,375,15,12705.8706
1374,2465,16,13430.31579
1374,7203,19,52915.42268
1374,4547,13,33558.59778
1374,6978,14,51261.97823
1374,8414,49,63886.16848
1374,2576,18,13577.83673
1375,2686,73,14973.85902
1375,3234,39,20213.37594
1375,2465,81,14117.56184
1375,3235,43,19688.81178
1375,8414,68,63893.63529
1375,9072,35,69940.00081
1376,487,358,12020.48515
1376,8414,123,63916.69189
1376,5429,58,40648.82647
1376,9072,49,69989.48567
1377,269,14,12783.60085
1377,378,16,12705.4784
1377,379,64,12020.29926
1377,486,41,13577.626
1377,599,14,10611.34665
1377,706,16,12507.99807
1377,818,12,10277.47552
1377,8420,17,63953.31864
1378,379,478,12705.34704
1378,818,206,11160.56736
1378,6981,62,51386.32074
1379,378,16,14187.46137
1379,379,38,13429.69208
1379,490,13,12020.11233
1379,597,19,13867.8744
1379,600,14,11381.41351
1379,706,13,14292.57267
1379,815,20,14839.92976
1379,818,24,12061.61436
1379,819,14,11160.45184
1379,929,12,10751.17093
1379,2922,18,14291.3837
1379,4678,12,29961.86752
1379,2808,14,13014.60318
1379,1685,19,24145.47442
1379,2948,11,32138.53299
1380,375,15,17462.00726
1380,379,44,14187.31434
1380,485,19,16970.02075
1380,487,48,15237.26243
1380,488,31,14396.54955
1380,489,18,13577.20489
1380,490,33,12783.33548
1380,596,24,15624.79271
1380,601,27,11381.29528
1380,706,33,15204.60757
1380,818,111,12976.87448
1380,819,22,12061.48936
1380,929,25,11683.81831
1380,4458,26,28019.9473
1380,8414,11,64164.29983
1380,3797,11,22163.07079
1380,5007,49,33075.59402
1380,5117,16,34069.78917
1381,379,109,14973.16123
1381,489,113,14396.40019
1381,599,135,13867.58698
1381,818,124,13903.53882
1382,379,22,15783.01533
1459,2560,13,10034.47319
1460,705,18,16526.2685
1460,1369,16,18995.25302
1460,1481,11,20965.52328
1461,701,12,12187.06668
1468,378,11,14118.56727
1468,599,14,13578.73439
1468,708,14,12186.21304
1468,818,44,11642.46892
1468,2327,12,22438.19092
1469,489,14,13431.06742
1470,372,26,10181.24965
1470,379,37,13430.99967
1470,599,43,12021.3448
1470,2561,21,13432.21131
1470,3341,11,17001.43655
1471,2466,14,10278.42138
1472,599,21,10612.16232
1472,600,19,11294.51104
1472,2341,21,13579.68714
1472,2451,18,14189.9082
1472,2561,15,14842.26012
1472,2568,22,10752.7062
1472,5779,13,42469.94506
1472,2576,19,10752.27318
1473,488,191,10278.2128
1473,489,147,10798.30008
1473,600,141,10612.05443
1473,2341,98,14399.0354
1473,2451,120,14975.90208
1473,2561,79,15595.40461
1473,6204,46,42939.73758
1473,2450,58,15786.06491
1473,3235,54,16097.48315
1474,152,15,12145.25194
1474,3890,12,22323.64321
1474,2589,14,17996.15103
1474,2675,21,14189.48443
1474,2480,14,18325.28115
1474,2582,11,12784.25831
1477,2686,11,11026.56393
1477,3759,17,34945.13262
1478,4346,45,27155.11551
1478,7205,55,52377.06567
1479,3796,18,22096.91253
1479,5112,14,33078.33956
1480,1932,14,12626.34728
1480,2465,34,10278.00392
1480,6531,13,46792.87381
1480,4992,11,32928.87771
1481,6205,11,43342.03791
1481,7203,72,51946.96393
1481,8414,13,62960.18474
1482,2465,11,11382.11778
1482,2467,11,10277.79368
1483,594,11,12020.85537
1484,2466,25,12020.67122
1484,2465,16,12705.8711
1484,3029,15,14839.24054
1484,6102,17,41973.23848
1484,8414,20,62887.94726
1485,372,11,16372.97015
1485,379,35,11641.40051
1485,482,13,15784.15493
1485,487,22,12020.54726
1485,816,34,10797.80296
1485,3254,11,18323.85454
1485,9049,12,73613.84036
